username,rating,comment
lu7h8k34cp,5,No regrets for choosing this TV. It's worthy. The screen is so crisp and the dolby dts sound is fantastic. What I like most on this TV is the Google assistant on the remote. Just push the assistant button then talk with your command and automatically will do what you command. No need to push anythin
dtp9uro9dn,5,"Ang matalinong paggamit ay napaka maginhawa, ang hitsura ay atmospheric at fashionable, ang kalidad ng larawan ay napakalinaw din, ang pag upo sa sofa upang tumingin sa larawan ay napaka komportable, walang malupit na pakiramdam, ang garantiya pagkatapos ng benta ng Xiaomi ay mas natitiyak. Mahusay"
jow9t7gwqh,5,"Xiaomi will never let us down, price first, quality first, after-sales service first"
344g21ttvz,5,Ang ganda sulit na sulit kahit medyo delay yung pag deliver keri lang. worth it to buy. sayang nga lang walang freebies. all in all ang ganda.
4kifl9jhne,5,It has high resolution and can be connected to cable TV or used as a computer screen.
l96u80hext,5,"Nice product, nVery good quality and good picture. will definitely order again but a bigger one!"
btf3m6y1_m,5,"Value for money, trust Xiaomi products, both in packaging and quality."
ugaw3sia5u,5,"Audiovisual effects: Ang tunog ay mabuti, makinis, at mukhang komportable. Sukat: Ang laki ay kasiya siya. Karanasan sa pag install: Ang serbisyo ay napakahusay"
p2b5sw2kfl,5,The picture is clear and the sound effect is good
prv4w5uze2,5,good quality product malinaw yung screen di sabog yung sounds salamat seller
mngu1r20rw,5,kahapon ko sya nareceived medyo matagal rin nakarating samin pero happy naman ako sa nakita ko sobrang linaw nya good quality thumbs up sa shop
f89p_try2m,5,"Easy installation, good interface, clear picture."
qi7s_baeby,5,"legit 4k smart tv,anlinaw nya okay din wifi connectivity nya"
28erge3w7y,5,High cost performance and thin body
4uz3nqz0tf,5,Nice sound. This one is really good
g1ckkang30,5,It's a good shopping experience.
o74hm3s_fn,5,Xiaomi TVS have always been cost-effective
9066zj8nzb,5,its a steal for its price....still hoping for the Soundbar as freebies.
81tmv5t3dq,5,maganda yung item super linaw bili narin kayo guys
ky9hanshuh,5,maganda yung quality nung tv kakatry lang namin gmitin nasatisfy naman ako 5 stars for me
uz09pzedkv,5,super ganda ng quality nya and super linaw nya rin kakaenjoy manood lalo
c92f0gypfy,5,its legit 4k perfect for my movie time and gaming thanks seller
sv7d7g5hdb,5,malinaw sya maganda yung quality must buy pips suggested item ko sainyo
5a7pcyy1fo,5,legit item im pleased so far its good thanks seller
vzc3jq1zms,5,order recieved same as advertised
b69yx0uwoe,5,thumbs up
frarmfkpu0,5,"legit xiaomi smart tv, and its good quality"
3nhuvk6wyv,5,legit smart tv highly recommended
j16rgft25_,5,legit smart tv thanks seller
n8c1_616v7,5,thumbs up sa shop
z9caoraec8,5,𝗁𝗂𝗇𝖽𝗂 𝗌𝗂𝗒𝖺 𝗆𝖺𝗀𝖺𝗇𝖽𝖺𝖺 𝖺𝗄𝖺𝗅𝖺 𝗄𝗈 𝗇𝖺𝗆𝗇 𝗏𝖺𝗉𝖾 𝗍𝖺𝗅𝖺𝗀𝖺 𝖽𝗎𝗆𝖺𝗍𝗂𝗇𝗀 𝗌𝖺𝗄𝗂𝗇  𝗍𝖺𝗅𝗂 𝗅𝖺𝗇𝗀 𝗀𝖺𝗋𝖺 𝖾
spidyleiclothing,5,"Very good at ang bilis dn dumating
,😍"
joancretencio207,5,
renalynfernandez737,5,Maganda
fernankenjohnduranadizon,1,this scammer tried to block me after giving me a different items . wsg kayo oorder dito scammer yan
tj.gan,5,
ynavee18,5,
vhinggines,1,
lightaud26,5,
marssandra,5,
randy198611,5,
hage09,3,
kderozan,5,
joannadayao076,5,
manuelalmeria,5,
regmagbanuasuarez,5,
darinbrioso11,5,
brandyrosario,5,
jayveebulacan111,5,
geovaniealob,5,
johnericclob182,5,
janeshienaubasa835,5,
bryllcliffords,5,
charlsarreola,5,
rehdindavetagaan,5,
arnoldduayan,5,
jomasomera270,5,
johnlloydmeles,5,
