rating,comment,processed_comment,label,prediction
5,no regrets for choosing this tv it s worthy the screen is so crisp and the dolby dts sound is fantastic what i like most on this tv is the google assistant on the remote just push the assistant button then talk with your command and automatically will do what you command no need to push anythin,regret choos tv worthi screen crisp dolbi dts sound fantast like tv googl assist remot push assist button talk command automat command need push anythin,2,2
5,ang matalinong paggamit ay napaka maginhawa ang hitsura ay atmospheric at fashionable ang kalidad ng larawan ay napakalinaw din ang pag upo sa sofa upang tumingin sa larawan ay napaka komportable walang malupit na pakiramdam ang garantiya pagkatapos ng benta ng xiaomi ay mas natitiyak mahusay,matalinong paggamit maginhawa hitsura atmospher fashion kalidad larawan napakalinaw pag upo sofa upang tumingin larawan komport malupit pakiramdam garantiya benta xiaomi ma natitiyak,2,2
5,xiaomi will never let us down price first quality first after sales service first,xiaomi never let u price first qualiti first sale servic first,2,2
5,ang ganda sulit na sulit kahit medyo delay yung pag deliver keri lang worth it to buy sayang nga lang walang freebies all in all ang ganda,ganda sulit sulit medyo delay yung pag deliv keri lang worth buy sayang lang freebi ganda,2,2
5,it has high resolution and can be connected to cable tv or used as a computer screen,high resolut connect cabl tv use comput screen,2,2
5,nice product nvery good quality and good picture will definitely order again but a bigger one,nice product nveri good qualiti good pictur definit order bigger one,2,2
5,value for money trust xiaomi products both in packaging and quality,valu money trust xiaomi product packag qualiti,2,2
5,audiovisual effects ang tunog ay mabuti makinis at mukhang komportable sukat ang laki ay kasiya siya karanasan sa pag install ang serbisyo ay napakahusay,audiovisu effect tunog mabuti makini mukhang komport sukat laki kasiya karanasan pag instal serbisyo napakahusay,2,2
5,the picture is clear and the sound effect is good,pictur clear sound effect good,2,2
5,good quality product malinaw yung screen di sabog yung sounds salamat seller,good qualiti product malinaw yung screen sabog yung sound,2,2
5,kahapon ko sya nareceived medyo matagal rin nakarating samin pero happy naman ako sa nakita ko sobrang linaw nya good quality thumbs up sa shop,kahapon sya nareceiv medyo matag rin nakar samin happi naman sobrang linaw nya good qualiti thumb shop,2,2
5,easy installation good interface clear picture,easi instal good interfac clear pictur,2,2
5,legit k smart tv anlinaw nya okay din wifi connectivity nya,legit k smart tv anlinaw nya okay wifi connect nya,2,2
5,high cost and thin body,high cost thin bodi,2,2
5,nice sound this one is really good,nice sound one realli good,2,2
5,it s a good shopping experience,good shop experi,2,2
5,xiaomi tvs have always been cost effective,xiaomi tv alway cost effect,2,2
5,its a steal for its price still hoping for the soundbar as freebies,steal price still hope soundbar freebi,2,2
5,maganda yung item super linaw bili narin kayo guys,maganda yung item super linaw bili narin guy,2,2
5,maganda yung quality nung tv kakatry lang namin gmitin nasatisfy naman ako stars for me,maganda yung qualiti nung tv kakatri lang gmitin nasatisfi naman star,2,2
