comment,label
nice qualiti product best watch ever nice qualiti definit order save next watch purchas,2
sanaol ganda final dumat sya chineck muna sya bayaran well packag nakalagay fragil sign ingatan courier problem everyth work perfect test day rate love,2
safe good good legit x order shop lang nag titiwala happi custom,2
love saktong sakto haha fast ship deliveri courier,2
got order today much ganda silicon saktong sakto iwatch exceed expect maram po definit buy,2
great product happi purchas seal well fulli charg yesterday batteri seem last long feel wear smartwatch premium product work fine colmi,2
good u complet naman po yung item true color well pack naman po gumagana nang watch indi po sya recharg parang naman pwede palitan yung batteri mayb pag gumana tapon nalang heheh well sana tumag u,1
valu money sulit comfort afford good ship item week pack well strap ok correct color matt finish size appl one bit thinner appl legit band thinner notic thin make comfort appl slight color accur red orang bit lighter person big deal imo overal satisfi purchas ur person like switch strap time altern buy origin one,2
nice qualiti valu money sulit magnet strap easi ikabit ganda plus kasama pang screen protector watch,2
design valu money yes superb satisfi custom legit product afford price compar mall other store shoppe,2
beauti screen amaz second buy still awe product qualifi servic offer hope peopl appreci conveni item low price need buy spend thousand truli worth price,2
good look good valu money worth,2
excel thick valu money excel receiv item complet excel qualiti strap qualiti great feel durabl,2
binili ibang nabili vapeshop napakalasa yung nasa vapeshop halo usok lang nicotin malalasahan orig naman sabi tri nyo hong tikman malaman nyo lasa binebenta nyo,0
valu money chang watch strap solut replac broken strap chang look watch easili done home proper tool steadi hand,2
tagal nito cart nagdadalawang isip worth ba though magaganda naman review final dumat took week deliveri super good buy bili pink look fresh nagmukhang watch,2
perfect valu money yes excel high recommend item deliv safe well packag qualiti size item better expect sturdi samsung galaxi watch mm nice fit samsung galaxi watch mm,2
look durabl valu money good look hq gift friend im happi look good color look great idk hope last pack well receiv consider amount time,2
strap magnet valu money excel durabl order next time,2
basta redmi problema featur magaganda talaga got order masubukan come day qualiti yarn ayus,2
fit well fit perfect well super satisfi qualiti effect effici product line packag handl ship deliveri satisfactori,2
nice product big screen saril charger screen protector temper gale worth,2
ganda neto tsaka mabili pag process order naship agad love item much sobrang sulit neto bilhin niyo hahaha conplet correct variat order,2
super cute laka maka shala look like appl watch mura lang dali lang nyang gamitin itri gamitin day halo half lang batteri nababawa order,2
qualiti good good qualiti,2
good qualiti smooth deliveri solid packag item exact describ swift send packag good,2
well pack valu money good good arriv safe complet,2
yey happi purchas exceed expect case pretti suit well smartwatch definit last order store good job till next transact god bless,2
excellet qualiti order excellet qualiti order excellet qualiti order excellet qualiti order excellet qualiti order excellet qualiti order excellet qualiti order,2
,1
like color valu money cheap sturdi bese nag oorder nitong strap pang siguro lol lage tinatangg anak nawawala u aesthet strap,2
sturdi valu money yes product great got problem first item ship happi outcom product sure,2
great design perform accuraci great realli like one best budol gift deserv item worth buy,2
order receiv much oppo philippin glad parcel arriv safe damag phone nice system phone work actual first time order phone onlin price worth custom come god bless,2
excel good time ayus ayo sya gamitin respons si tanung mo first kala sira nun nag messag tinuruan nya tamang pag gamit yun gumana sya good jod,2
th order wln kd c pocket size walki talki w two way radio clip fast deliveri item look good parang laruan lang mukhang ok naman hope ok,2
cute sobraaaa laka maka appl watch afford,2
good maflavor dabest item receiv pang nth time kuna buy far workimg masarap uulitin,2
super nice valu money yes execel qualiti ganda worth price order ulit ibang color u next order,2
great good best th time order band band gift kid use help lifestyl light afford smartwatch comfort wear love color pink daughter got sale malaki discount rider,2
stainless free watch adjust tool valu money worth price nice perfect xiaomi mi band love actual got two,2
iam disapiont cellphon function well fast processor well recommend shope rider,2
good perfect fit iwatch order red see pic red happi purchas,2
valu money item product proper pack deliv safe love product order futur accommod u stay safe alway,2
edit got bracelet supeeeerr love soft silicon xa makap super mura secur watch mo,2
order complet ok naman yung product mejo kinulang lang sya bubbl wrap prob nakabarang rubber binuksan ayown mejo nasira nagawan naman haha nanood tutori pala hinayaan nalang price naman ok sya sya yung pinaka mura,2
good advertis watch good order day februari ship day februari receiv day februari,2
ok nman fit nman sya need mo lng pasok maayo,2
product good far wala naman akong nadedetect problem sana tumag got well super secur packag rider,2
valu money excel great color nice item well fit watch fast ship oversea order order soon,2
worth wait legit daughter love much full charg whole night work smooth ambili nakapag download agad app play roblox rider lazada well pack two thumb,2
beauti,2
day use okay respons far accuraci blood pressur function sure per advertis fast deliveri,2
good tast good cute pastel color receiv complet correct item damag like pink one better gave green one hubbi,2
good good work condit good legit item safe packag damag ever item fast diliveri solid item,2
best good good gumagana nka lagay wala akong masabi sulit bayad nyu malak tulong lalo nag tratrabahu first time umord shope natu nabigo,2
fast good smooth nd time purchas kid far good still fast process smooth deliveri also fast,2
ship immedi damag complet daughter test pencil tip realli work compat appl pencil,2
use black one almost everyday use sinc got iwatch starlight think mm size alreadi perfect size wrist ad anoth watch case made super bulki look discard curv screen protector watch case bought also temper made hard touch screen touch screen work well sometim case temper glass,2
look nice amaz much fast easi transact love product well pack bubbl wrap also item arriv perfect condit excit unbox omfgrhtfhdd definit order also worth price,2
recommend mali strap,0
good good good deliv time pwedeng pwede pinang gift mother medyo nalungkot lang black inord navi blue dumat overal good naman first time risk lang umord cp shope naman nabigo,2
excel excel best flavor naadjust air flow far one favorit also tri flavor l love super bili deliveri,2
good custom servic product good expect deliv fast exceed expect regard item definit order store,2
receiv packag good condit open phone box turn phone work proper trust qualiti phone,2
valu money nice item perfect fit appl watch ultra also good qualiti item,2
shoppe got order incomplet refund rest undeliv item accomod nice item like reorder alreadi,2
order ship deliv good qualiti naman yung strap smooth textur like origin makap color like nude skin tone,2
classi look good good super ganda product bili dumat sarap classi talaga syang tingnan buy soon differ flavor,2
valu money madal ikabit n mtatakot magasgasan appl watch afford yet qualiti till next transact,2
good valu money best good thought len also cover protect fast deliveri valu money free ship also plus shoppe,2
nice good madal malowbat,2
yay order arriv correct complet well packag good condit qualiti good worth everi penni soo excit use em much definit order,2
ganda nya super lang iconnect io pinag aaralan ibang featur like pano makoconnect fb notif overal maganda sya sana matibay matag masira mabait si,2
tri first think good sinc use huawei watch upgrad fit eleg nice eleg receiv good condit,2
valu money nice product wrth price wait even though n mahal mganda pla talaga,2
super good qualiti low price recommend buy deliveri fast consid ship oversea kudo,2
wlang kweta itong case protector mm yung order laki parang mm kasya ultra smart watch bili sayang pera,0
perfect fishey perfect android qualiti nice packag nice still seal,2
maganda medyo mabili lang malowbat overal maganda afford maganda sulit sulit mid rang phone malaki ok lang googl magagamit naman ganda packag freebi sulit bilhin sayang lang ma mura ngayon sana naghintay pala haha sana lang tumag sinc medyo mabili malowbat huawei afford yet nice product sana,2
thought realli bad turn way around charg realli hard nervous mayb husband would fight turn much disappoint bubbl wrap,2
maanga yung pod super dabe matag malobat lobat kana yung devic maanga yung pod ta legit send pic muna si ship ta mabili ship si,2
valu money fine price,2
valu money afford durabl nice ganda like worth pera pag antay kaso oversea order sya high recommend shopeeeeeeeeeee,2
nice valu money yes great magnet strap nice hold superb,2
good nice yet tri last,2
glow dark item arriv time well pack sinc box damag protector brother alreadi use thought screen front yun lng comment q protector,2
good tong brand per brother sana magtag edit review pag receiv asawa buy paguwi nya,2
nice qualiti,2
great love well packag seal damag fast charg matag malowbat gamit anak pag ga game malinaw cam freebi vivo ph jnt rider,2
okay think fake origin chillax e nakalagay watwrmelon ice nakalagay sakanila differ like rybi crip correct im wrong most ad po fruiti nakalagay sayang lang dami naman binili,2
super nice make sure item complet pack item deliv good condit courier make sure parcel handl care kudo,2
fit valu money cheap seem ok deliveri took awhil china overal item arriv expect issu encount freebi well,2
complet order work naman po maganda qualiti legit parcel arriv time order,2
arriv day place order complet yung orderd tama color size dumat medyo sagad crown ung buta,2
good valu money,2
satisfi g perfect shopp nakuha discount laki natipid heheeheh gand realm pro sulit k,2
deliv fast given came abroad qualiti good afford size fit right order,2
sobrang sulit talaga nito custom come po iship sisiguraduhin nyang picturan nya muna isend sayo,2
band nice got day order got two color black band buy price okay qualiti,2
strap realli nice buckl valu money sana naginamit yjng watch case poor poor mgnd nmn yung strap mali yung buckl nya sana yung nasa pic gnn isend tapo yung safeti case nya nung nlgi ngkroon dead line yng relo tsk hmmmm,0
maram po napka rame freebiest po naiship nyo mabili yung order nkarat po sakin maayo damag uulitin po nlng po oorder mabait po yung freebiest maram shope,2
valu money worth strap nice high recommend sakto sya iwatch definit order shop,2
maganda mukhang mamahalin hitsura mapahiya hitsura order u,2
receiv item later expect date arriv color qualiti best love small button serv lock also second time order shop disappoint item well packag damag receiv,2
descript match band appl watch seri newer case size mm band work mm mm case mm band work mm mm mm case,2
nice purchas love smartwatch big help especi time pandem health relat specif next deal god forbid,2
color big valu money afford fast deliveri ganda fit kd pro kaso maluwag sakin maliit yung wrist pede maliit payat afford fast deliveri order,2
mani featur notif superb came freebi jelli case aolon bag naka connect nag aadjust yung time kusa exampl alreadi tapo mayamaya pm min lang naman nakalipa kasya yung blue strap ayun tuloy nasira lg,1
valu money nice item also good qualiti item,2
mabili dumat yung occ legit naman sya sobrang ayo pag packag definit order posit sakin rider,2
strap case perfect minimalist white design definit order,2
gift mom love still tri explor use alreadi pair chang dial custom photo ad favorit contact connect bluetooth video music call audio call music also loud mic also pick sound well need rais watch near mouth,2
fast easi navig lightweight authent samsung product secur well pack deliv day expect product seal realli brand new authent eldest son happi delight excit tri,2
best mid rang tablet opinion flagship level camera also amol display hz refresh rate offer flagship tablet today handl well graphic intens game littl lag stutter,2
edit kasya pod kit yung descript magkatugma actuak poor qualiti,2
order ship deliv rizal area pic sent ship bili dn magprocess,2
swabe kada hipak puff mtl dtl mode recharg legit practic product legit mabili deliveri kc ship agad masarap version lush ice snowplus user snowplus pod lang st time use dispos nagkamali mura sya peso kc ml sya definit buy test flavor ipagbaw pagbenta nito,2
work good naman yung product best mukhang tatag mamahalin nahirapan nong tnx ganda wl akong masaba nagustuhan pinagbigyan order ulit naman tnx kuya rider bless shop nyo,2
good valu money good good alway buy appl watch case strap super afford mabili deliv intern dami choic,2
th time order respons approach regard order packag secur definit order,2
nice valu money high recommend good complet item maganda strap lalo itong leather strap mahirap lang masikip sana lang tagal shoppe deliv,2
arriv good condit gumagana xa fast transact bcbsjsbdurjhhjskmsbsbdixnfbkkzkznxbfnncnskznxnxkxnfbdksjzbxhcbcbxkzksndnxkcnbckdnznxjxjckxnxnxkxnncjcnx,2
great sound qualiti special bass locat via wearabl app softwar updat uwu might need buy market accessori like case protect earbud sleev special smaller ear,2
love materi style shope,2
great textur style valu money well spent money qualiti product undeni goooood definit recommend friend great formal casual encount happi bought doubt,2
good nice good st attempt order maganda nmn ung item ke ingat ingat nmn nadeliv bili date kudo ke sell,2
deliv correct size good condit fast deliveri mababawasan yung liwanag nung watch case serv purpos naman price worth,2
alway good much right flavor reciev,2
valu money worth penni super respons rin watch ok product protect watch minor scratch frontal screen sinc cover whole screen need rin case watch cover yung side mejo sensit attach,2
legit silicon valu money worth price super nice qualiti see get talaga happi purchas gon order soon much,2
valu money good good good got order appl watch case appl watch seri pc hard matt bumper mm mm mm mm iwatch protect shell ship immedi well packag,2
okey okey naman sya talagang magandang klaseng item sya ilubog mo talagang mababasa mapapasukan ung loob tubig maganda ung seal kabilaan merong protector,2
valu money great valu money steel clamp nylon strap flexibl fit easi attach comfort worn appl watch good fit,2
color nice work cours great caus new,2
good good valu money good qualiti good hope last good transact order,2
valu money worth good qualiti good qualiti fast ship sure order high recommend shop,2
valu money good godd good im happi product u ill buy,2
late review parcel receiv good condit item correct complet damag found order next time,2
good good good bili deliv maayo packag naka bubbl wrap secur secur item nakkita vape shop kuno mamah bawal tumawad kht peso,2
sturdi fit watch valu money good good store legit see photo exact item deliv,2
color valu money yes good qualiti perfect perfect fit watch shope quick respons answer,2
excel valu money cheap high qualiti afford price ok nmn ung item n naship low cheap price sulit n price khit class pede pang rampa avail n color lilac purpl strap shipment wla week nareciv sunod order ulit sana meron color latest color design,2
yey waka dumat happi mura lang ta occ next time ulit matag maship mabili naman madeliv ginamit good,2
good qualiti featur nice watch good day use monitor heart rate sport activ even phone bag check social medium account,2
legit item im plea far good,2
ok valu money ok ok came well pack within expect time screen protector make watch respons howev better watch protect starlight color almost ident origin strap valu money,2
game camera excel test updat later nd purchas excel qualiti gorgeous color still one good unit,2
valu money quit worth look good good color wish protector realli fit still use sinc color attract,2
yung label pictur label actual sinasabi naman though flavor naman good naman,2
good good qualiti ganda item bili duamt safe packah order soon wowoweeeee,2
preorder item got day box come charger usbc usbc cabl sim pin phone hz screen fluid amol good bright nice color cpdt seq read write mb got k voucher code via chat,2
product box bubbl wrap use give extra protect everyth good condit perfect work well use still smell sweet caramel scent aroma similar famous starbuck drink legit item staff logist shope fast deliveri servic,2
good good good fast deliveri first tym q order cp onlin mejo kabado first pro ok nmn well pack ok nmn item pagkarec q wla nmn damag legit oppo tlga,2
nice valu money worth better expect best fit appl seri,2
tama lang yung size nya kz edx bass dynam earphon yr natong earphon palitan bud tysm,2
item took two week half arriv pack seal well damag whatsoev hope serv purpos protect prevent scratch iwatch,2
good phone good price capac ambili lng nadeliv legit store well pack secur samsung flagship store,2
use week super happi qualiti featur love fact item water resist mani option skin use,2
seal safe dumat also kudo sobrang respons kausap,2
valu money receiv item complet good qualiti condit sad lang dami naorder shop free okay mura naman item,2
good valu money ok ok comment chang hope compromis strap one expect color right tho yellow,2
high qualiti good menthol super sulit talaga first time tri flavor lage lyche tri flavor well sure satisfi expect alway time ship deliv day awesom purchas next week next next week,2
good mukang matibay anak free headset mura maganda product sana magtag batteri life nito,2
work month sinc bought one nd buy deliveri problem far problem use product,2
nice plastic made nice design tho plastic serv fulli protect malaka maka ultra watch haha maanga tingnan nice strap good slim wrist like breathabl pawisin wrist,2
fast deliveri qualiti right price god love wirld gave son jesus christ whoever believ shall perish etern life,2
maganda high recommend lot featur choos high qualiti good price high qualiti sure order ever budget,2
good good good,2
mali kulay tuloy kakulay case nabili,0
chill juic masarap un juic pang eksakto lng,2
excel excel valu money excel sartisfi inwil definit order soon fast transact,2
nice great durabl breathabl hole fit sinc nasa k origin strap best altern look authent,2
good valu money good good ganda super medyo delay lang yung deliveri bagyo overal sulit super ganda,2
easi instal valu money order ship receiv got screen protector surpris lol instal use microfib cloth squeege niy use wipe anymor sinc screen clean alreadi much maxshield nice qualiti,2
nylon valu money yes excel execel fast deliveri well pack ganda sakto watch ayo susunod ulit reccomend qualiti wise superb order pako ulit sususnod kulay presyo mura,2
orderd deliv sakto namn watch aswa mm hope last long time sinc advertis cow leather tou ship immedi right aftr place order,2
handi yet test updat review soon best price afford yet mani unit sold,2
omg pangapat order alam mo ba wala talaga damag super legit talaga talaga kukuha tuw mayron bibilinsaakin vape infin vape subrang happi costum shope,2
kasya ngayon mm andami nasayang mm yon nasa descript bavin watch hay naku tho need cut yong part circl button maikot nakastuck sya,2
shope tagal okay rin ganda qualiti good good,2
easi strap good valu money ok ma better kesa origin bracelet relo kc mukhang ma matibay reason bought new orig snap need replac,2
best talaga tong iq po mabait si pafreebi,2
serv purpos multipl purchas shop realli love product shope,2
genuin product wonder nice work proper genuin producct perform realli plea abl order product via shope great,2
valu money wag magtaka ganyan kulay binili mahilig po talaga pastel color,2
happi content good surpris reciev pc screen protect smart watch expect pc screen phone still work well screen protector easi put,2
nice,2
legit nice pati camera ganda rin wla akong masabi sulit pera mo po definit order,2
good qualiti low price differ cla origin strap peo unti lng tlga ung difer n mahahalata,2
good perfect valu money worth respons,2
good good legit,2
good qualiti perfect fit mm valu money cheaper store high recommend,2
bili pag ship relx respons pagdat lang iniscan yung qr code legit talaga mura compar tapo free pod sumobra sakin lang sabi sulit sulit shop much po,2
valu money best color excel qualiti arriv earlier expect,2
best perform devic good qualiti expect samsung product especi new perform devic best fortun abl find model sinc find one shop mall near qualiti phone fit budget satisfi custom order also well pack,2
receiv strap today nice color love happi purchas order one worn,2
ok ok brand sweet night seri shimmeri seri specif ml pack brand new shell plastic seal shelf life year condit brand new film seal ship shop network parcel standard packag content x perfum note plea note color product receiv differ slight imag page due differ monitor light around plea use purpos eye makeup plea use direct sunlight high temperatur keep reach child child toy,2
goooooooooooooooooooooooooooooooood shopeeeeeeeeeeeeeeeeee thanks po good valu money worth buy,2
super ganda qualiti worth price po buy,2
excit kmi anak kng buksan isuot maganda kamay muntik lng disappoint sira ung black kc chacharg ppower lng mtagal echarg pro huli ok dn cia ung white ok cia sakto time set nya ung black lng lagingi prob hirap e set ung time reset,2
fit perfect watch valu money worth price product good qualiti worth price also secur well packag sure buy soon,2
beauti perfect fit smartch watch complet correct variat,2
protect watch valu money protect okay qualiti product cheap feel good protect noth,2
super nice great qualiti leather wait tri fast ship hope fit appl watch,2
super nice legit nd time order item pinag regalo yung heart beat accur wear band proper size cute heheh sakto lang payat wrist also like set wallpap clock nice,2
excel smell soooo good best descript siguro nito parang tang juic grape flavor super sulit price,2
job naman cool ba hahahahah great come pouch conveni maprotect,2
flexibl valu money worth amaz okay yung product nagagawa nya yung job nya protect yung screen scratch lang sanay kabit protector lalo liit screen doabl naman sya,2
valu money qualiti right price deliveri fast consid came oversea much order need,2
complet correct item deliv order get valu money afford fit iwatch se mm,2
matt color valu money worth excel verh afford compar seller product nice parang mamahalin,2
great qualiti super mura materi qualiti high recommend,2
color valu money afford good product nice like color actual dark blue easi attach strap hard detach,2
nice good condit qualiti good perform nice ganda worri nung scam naman pagdat sakin ganda super like love,2
nagsend pictur ship masarap yung juic chill yakolt mabango feel lagi akong bagong toothbrush diko natri yung cheesecak sabi kuya masarap pag naubo bili ulit shope,2
sport mode good nice akalain ganito ung qualiti nya price sulit sya presyo nya maganda,2
budol purchas voucher abl get lesser price watch secur pack handl well courier watch nice issu pair io love,2
like glad send right variat problem took week deliv wait period bit day agad nacov yung airpod charger okay,2
authent legit smooth ram storag cam maganda realm ganda talaga,2
like color love qualiti item pack secur satisfi will order,2
coil origin doubt last advic buy bit sad sinc bought piec photo see right origin hero left sub standard bit disappoint,0
perfect perfect valu money worth nice slim eleg look effect magnet sya madal natatangg okay lang khit mabasa madal patuyuin puna lang order black color,2
best worth worthit po masasayang pera niyo dami function itri palang po gaano tatag yung batteri life recommend shop pati po freebi complet loveit much,2
good good good aju nice maganda complet order much definit order shop kagad dumat parcel excel qualiti accommod well pack,2
much fast deliveri receiv item complet well pack much,2
order place apr deliv apr super love starlight strap although ma manipi konti almost origin green strap good buy good condit also complet order male size whatev much,2
solid netong juic saktong sakto pod,2
standard iwatch seri valu money worth price see get bad price arriv time high recommend star,2
silicon rubber color nice love fit watch pwede anong ganap gamitin perfect acfiv occass,2
ok namn makap matt type sya valu money ok lng,2
cute nya kamay maliit lang recommend minimalist ganurn mabili naman nadeliv day lang nakuha,2
good batteri full charg last day still accur yung sensor yung ocean strap nasira agad good price mani choic watch face u put custom pictur come speaker malaka yung audio although crack malaka like app sleep tracker accur sen hehe sensor accur place anywher measur even object wrist batteri long life strap good look broke real fast look good flex say pretti much worth look lang want work sensor much better buy origin smart watch,1
good qualiti valu money worth,2
excel item cool nice happi get expect order came time,2
soft silicon valu money worth price shown pictur receiv item complet good condit much smooth quick transact,2
got correct color ship earlier expect especi love midnight pine green color coz perfect match strap attach screen saver challeng though hahaha order color soon,2
super good qualiti function well smart watch super duper recommend store guy worth tagala bili nang ship see get legit hind kyu mgsisi,2
good locat good consid price thumb much better volum,2
valu money ok ok okay price deliveri took long understood sinc oversea product good,2
noth box,1
nice smell cool smell nice authent relx fast deliveri realli love scent cool bring,2
qualiti strap nice maganda pagkaka white excel qualiti well packag item ship immedi probabl order,2
design valu money good good hope po fade yung design good enough price nice u fit mi band,2
excel outstand fast deliveri order tablet saturday deliv day well packag pristin condit definit recommend other truli legit,2
good item good packag accommod fast deliveri good qualiti item also recommend use worth buy,2
super love expect ganito kaganda realli good buy mabili dumat maganda yung packag good qualiti great appear,2
much drip cloud maganda packag nagnsend si pic ship accomod good ung product good qualiti,2
legit nmn medyo nag alangan lng nung sulit nmn paghihintay nawala nren kaba n bka fake dumat legit nmn pla salama uulitin shopp sale deliveri man maingat paghahatid ingat kyo palagi,2
valu money good good good,2
ok naman mabili nadeliv kumpleto damag nag leak yung juic loob pictur person hahaha devic pod kit padin,1
legit order ulit next time,2
lack menthol good bad name binili naman swack menthol tri flavor lych grape ice still lack menthol kumpara previous juic nagamit nerdz chill bill vento much better talaga chill bill pag date flavour menthol juic buti nalang meron akong stack menthol juic boost lang talaga nung menthol juic much better naman kumpara frutta kool nabili previous pag date menthol wise nung flavour okay lang due lack menthol overal good bad right p nung pictur yan gamit menthol juic,1
pretti enough look sturdi color photo valu money nice screen protector cover okay might still order soon rider,2
find phone nice vivo nice phone first vivo phone function well,2
